playerid,tries,rank,first,id
66,1,5,1542647617,246
62,5,4,1542647619,247
56,1,4,1542647623,248
71,1,1,1542647626,249
66,1,6,1542647639,250
67,2,4,1542647643,251
72,1,0,1542647645,252
73,1,0,1542647646,253
71,1,2,1542647654,254
70,1,2,1542647660,255
56,1,5,1542647662,256
62,1,5,1542647663,257
62,5,6,1542647672,258
37,1,3,1542647673,259
69,1,4,1542647674,260
36,1,0,1542647681,261
35,1,3,1542647683,262
73,1,1,1542647684,263
62,1,7,1542647687,264
56,1,6,1542647689,265
67,1,5,1542647691,266
71,3,3,1542647693,267
69,1,5,1542647701,268
66,2,7,1542647712,269
75,1,0,1542647714,270
67,1,6,1542647722,271
73,1,2,1542647732,272
69,1,6,1542647732,273
36,1,1,1542647734,274
64,1,0,1542647740,275
72,1,1,1542647741,276
75,1,1,1542647754,277
64,1,1,1542647756,278
67,1,7,1542647760,279
37,1,4,1542647762,280
64,1,2,1542647767,281
72,1,2,1542647777,282
69,1,7,1542647780,283
75,1,2,1542647783,284
36,1,2,1542647785,285
70,1,3,1542647793,286
35,1,4,1542647794,287
74,1,0,1542647806,288
37,1,5,1542647810,289
77,1,0,1542647813,290
54,1,0,1542647818,291
75,1,3,1542647820,292
70,2,4,1542647823,293
71,1,4,1542647824,294
35,1,5,1542647826,295
73,1,3,1542647828,296
56,2,7,1542647843,297
74,3,1,1542647844,298
64,3,3,1542647846,299
71,1,5,1542647849,300
75,1,4,1542647853,301
70,5,5,1542647854,302
79,1,0,1542647870,303
37,1,6,1542647873,304
71,1,6,1542647874,305
35,1,6,1542647876,306
75,1,5,1542647876,307
73,1,4,1542647878,308
64,1,4,1542647886,309
73,1,5,1542647896,310
36,1,3,1542647896,311
74,1,2,1542647901,312
71,2,7,1542647902,313
72,3,3,1542647902,314
80,1,0,1542647903,315
45,1,0,1542647905,316
70,1,6,1542647906,317
75,1,6,1542647907,318
54,5,1,1542647919,319
73,1,6,1542647924,320
79,1,1,1542647928,321
74,2,3,1542647933,322
37,1,7,1542647933,323
77,1,1,1542647939,324
79,1,2,1542647945,325
81,1,0,1542647945,326
74,2,4,1542647951,327
36,1,4,1542647952,328
82,1,0,1542647960,329
45,2,1,1542647961,330
73,1,7,1542647961,331
74,2,5,1542647966,332
77,1,2,1542647967,333
35,1,7,1542647970,334
42,1,0,1542647973,335
75,1,7,1542647978,336
81,1,1,1542647979,337
74,1,6,1542647985,338
80,1,1,1542647990,339
36,1,5,1542647996,340
74,1,7,1542648002,341
81,1,2,1542648003,342
42,1,1,1542648006,343
72,2,4,1542648010,344
54,5,2,1542648013,345
82,1,1,1542648031,346
86,1,0,1542648034,347
42,1,2,1542648034,348
85,1,0,1542648034,349
72,2,5,1542648034,350
36,1,6,1542648037,351
80,5,2,1542648040,352
79,3,3,1542648045,353
85,1,1,1542648053,354
81,1,3,1542648056,355
86,1,1,1542648056,356
87,1,0,1542648057,357
77,1,3,1542648057,358
82,1,2,1542648059,359
85,1,2,1542648070,360
86,3,2,1542648070,361
54,4,3,1542648071,362
80,1,3,1542648072,363
76,1,0,1542648076,364
77,1,4,1542648080,365
81,2,4,1542648084,366
84,1,0,1542648086,367
72,1,6,1542648088,368
83,1,0,1542648093,369
45,5,2,1542648093,370
85,1,3,1542648094,371
36,1,7,1542648095,372
80,9,4,1542648095,373
86,1,3,1542648101,374
87,1,1,1542648104,375
77,1,5,1542648105,376
84,2,1,1542648107,377
82,4,3,1542648109,378
76,1,1,1542648110,379
81,2,5,1542648116,380
72,1,7,1542648122,381
86,1,4,1542648126,382
87,1,2,1542648132,383
77,1,6,1542648132,384
86,4,5,1542648134,385
76,1,2,1542648143,386
42,1,3,1542648144,387
84,1,2,1542648150,388
81,1,6,1542648157,389
85,2,4,1542648160,390
46,1,0,1542648161,391
70,2,7,1542648167,392
86,1,6,1542648167,393
84,1,3,1542648171,394
86,2,7,1542648177,395
87,6,3,1542648177,396
79,1,4,1542648177,397
81,1,7,1542648179,398
85,2,5,1542648181,399
42,1,4,1542648185,400
83,4,1,1542648185,401
39,1,0,1542648187,402
76,1,3,1542648188,403
80,1,5,1542648193,404
84,2,4,1542648198,405
85,1,6,1542648202,406
79,1,5,1542648202,407
42,1,5,1542648209,408
54,3,4,1542648215,409
85,2,7,1542648217,410
79,1,6,1542648220,411
82,1,4,1542648224,412
42,1,6,1542648225,413
84,1,5,1542648228,414
46,1,1,1542648233,415
84,1,6,1542648240,416
82,1,5,1542648243,417
77,2,7,1542648250,418
84,1,7,1542648252,419
42,3,7,1542648254,420
79,2,7,1542648257,421
46,1,2,1542648258,422
82,1,6,1542648259,423
54,1,5,1542648260,424
87,2,4,1542648266,425
82,3,7,1542648283,426
87,2,5,1542648290,427
89,1,0,1542648291,428
54,1,6,1542648292,429
46,2,3,1542648302,430
88,3,0,1542648320,431
54,1,7,1542648323,432
39,1,1,1542648333,433
83,2,2,1542648334,434
45,7,3,1542648352,435
87,1,6,1542648357,436
88,3,1,1542648363,437
46,1,4,1542648372,438
89,2,1,1542648382,439
83,3,3,1542648386,440
88,5,2,1542648386,441
46,1,5,1542648392,442
52,1,0,1542648399,443
88,6,3,1542648410,444
46,1,6,1542648414,445
83,1,4,1542648418,446
39,1,2,1542648440,447
83,2,5,1542648440,448
89,1,2,1542648451,449
46,1,7,1542648454,450
90,1,0,1542648462,451
88,2,4,1542648465,452
52,1,1,1542648467,453
83,1,6,1542648467,454
87,2,7,1542648483,455
88,28,5,1542648489,456
52,1,2,1542648490,457
89,6,3,1542648492,458
83,1,7,1542648516,459
90,1,1,1542648558,460
52,2,3,1542648563,461
39,1,3,1542648564,462
89,1,4,1542648571,463
90,1,2,1542648588,464
89,2,5,1542648603,465
45,1,4,1542648618,466
39,1,4,1542648622,467
45,3,5,1542648633,468
90,1,3,1542648654,469
52,2,4,1542648655,470
91,1,0,1542648657,471
39,2,5,1542648672,472
45,1,6,1542648683,473
52,2,5,1542648695,474
90,1,4,1542648698,475
45,2,7,1542648710,476
90,1,5,1542648724,477
91,1,1,1542648729,478
52,2,6,1542648749,479
90,1,6,1542648753,480
91,1,2,1542648754,481
51,1,0,1542648758,482
39,1,6,1542648792,483
52,2,7,1542648804,484
90,1,7,1542648814,485
92,1,0,1542648875,486
39,1,7,1542648938,487
94,1,0,1542648945,488
91,2,3,1542648949,489
91,2,4,1542648986,490
94,3,1,1542648991,491
95,1,0,1542649002,492
92,1,1,1542649023,493
91,1,5,1542649027,494
91,1,6,1542649044,495
91,1,7,1542649075,496
92,1,2,1542649104,497
95,5,1,1542649139,498
95,2,2,1542649235,499
92,1,3,1542649258,500
88,1,6,1542649285,501
88,1,7,1542649295,502
95,1,3,1542649311,503
95,1,4,1542649355,504
92,1,4,1542649357,505
92,1,5,1542649384,506
95,1,5,1542649387,507
95,1,6,1542649421,508
95,1,7,1542649465,509
92,1,6,1542649475,510
98,1,0,1542649531,511
99,1,0,1542649564,512
92,1,7,1542649569,513
100,1,0,1542649575,514
99,1,1,1542649584,515
99,1,2,1542649595,516
